filename	count_mme	count_mlle	total
1906-0511	0	1	1
1900-0338	0	1	1
1895-0423	0	1	1
1895-0347	1	0	1
1901-0067	0	1	1
1901-0325	0	1	1
1901-0076	1	0	1
1894-0423	1	0	1
1900-0361	1	0	1
1902-0071	1	0	1
1895-0394	1	0	1
1895-0390	0	1	1
1900-0375	1	0	1
1900-0379	0	1	1
1895-0369	0	1	1
1900-0400	0	1	1
1900-0405	1	0	1
1900-0432	0	1	1
1901-0068	1	0	1
1901-0079	0	1	1
1900-0101	0	1	1
1901-0081	1	0	1
1901-0082	0	1	1
1901-0083	1	0	1
1901-0084	1	0	1
1901-0086	1	0	1
1901-0090	0	1	1
1901-0091	0	1	1
1901-0101	1	0	1
1901-0102	0	1	1
1895-0421	0	1	1
1901-0105	1	0	1
1894-0106	0	1	1
1901-0330	0	1	1
1894-0101	0	1	1
1895-0075	0	1	1
1895-0074	1	0	1
1900-0099	1	0	1
1901-0314	0	1	1
1894-0416	0	1	1
1894-0413	0	1	1
1894-0383	0	1	1
1901-0364	1	0	1
1894-0362	0	1	1
1901-0376	1	0	1
1894-0345	1	0	1
1894-0340	1	0	1
1901-0321	0	1	1
1900-0097	1	0	1
1900-0093	1	0	1
1901-0391	1	0	1
1900-0089	1	0	1
1898-0397	0	1	1
1897-0419	0	1	1
1898-0421	0	1	1
1898-0428	0	1	1
1897-0391	1	0	1
1897-0386	0	1	1
1899-0056	0	1	1
1899-0057	1	0	1
1899-0059	0	1	1
1904-0439	0	1	1
1895-0099	0	1	1
1900-0348	1	0	1
1895-0076	1	0	1
1895-0077	1	0	1
1902-0078	1	0	1
1902-0087	1	0	1
1902-0080	1	0	1
1902-0081	1	0	1
1902-0082	1	0	1
1894-0088	0	1	1
1902-0083	0	1	1
1894-0086	0	1	1
1894-0085	0	1	1
1894-0083	1	0	1
1894-0082	1	0	1
1894-0080	0	1	1
1894-0079	1	0	1
1902-0085	1	0	1
1902-0086	0	1	1
1894-0075	1	0	1
1894-0095	1	0	1
1901-0420	1	0	1
1901-0416	0	1	1
1901-0414	0	1	1
1901-0395	0	1	1
1901-0108	0	1	1
